iter	Passed	Remaining
0	8	8815
1	17	8531
2	25	8561
3	33	8389
4	41	8278
5	49	8260
6	57	8181
7	66	8267
8	74	8217
9	82	8161
10	90	8181
11	98	8135
12	106	8100
13	114	8080
14	122	8064
15	130	8016
16	138	7998
17	146	7983
18	154	7965
19	162	7970
20	170	7957
21	179	7965
22	187	7952
23	195	7946
24	203	7941
25	211	7939
26	220	7959
27	229	7970
28	238	7972
29	247	7990
30	256	8003
31	264	8012
32	274	8035
33	283	8049
34	291	8041
35	299	8025
36	307	8010
37	316	8001
38	323	7978
39	332	7980
40	340	7973
41	349	7965
42	357	7959
43	366	7963
44	374	7956
45	383	7950
46	391	7947
47	400	7940
48	409	7942
49	417	7938
50	426	7934
51	435	7931
52	443	7925
53	451	7910
54	459	7901
55	469	7912
56	477	7902
57	486	7898
58	494	7892
59	504	7899
60	513	7897
61	521	7893
62	530	7884
63	538	7875
64	546	7861
65	554	7849
66	563	7840
67	571	7838
68	580	7833
69	588	7820
70	596	7808
71	604	7792
72	612	7779
73	620	7767
74	628	7757
75	637	7750
76	645	7741
77	654	7742
78	663	7733
79	672	7728
80	679	7713
81	688	7702
82	696	7697
83	705	7690
84	713	7683
85	722	7675
86	731	7672
87	739	7665
88	748	7664
89	757	7662
90	766	7659
91	776	7661
92	785	7658
93	793	7652
94	802	7644
95	810	7629
96	818	7618
97	828	7622
98	837	7622
99	845	7613
100	855	7610
101	863	7606
102	873	7604
103	882	7600
104	891	7600
105	901	7603
106	910	7595
107	919	7592
108	928	7590
109	938	7592
110	947	7592
111	957	7591
112	966	7587
113	976	7585
114	986	7592
115	998	7605
116	1009	7619
117	1021	7632
118	1031	7639
119	1043	7650
120	1052	7649
121	1062	7648
122	1072	7648
123	1082	7645
124	1092	7645
125	1102	7647
126	1112	7645
127	1122	7648
128	1132	7648
129	1142	7645
130	1152	7647
131	1163	7650
132	1173	7649
133	1182	7642
134	1192	7638
135	1200	7629
136	1209	7620
137	1218	7610
138	1227	7602
139	1236	7592
140	1245	7585
141	1253	7574
142	1262	7563
143	1271	7559
144	1280	7552
145	1290	7548
146	1301	7550
147	1311	7549
148	1321	7546
149	1330	7540
150	1341	7541
151	1350	7533
152	1359	7528
153	1369	7521
154	1379	7521
155	1389	7518
156	1400	7518
157	1410	7514
158	1419	7510
159	1429	7506
160	1439	7502
161	1449	7499
162	1460	7497
163	1469	7493
164	1480	7491
165	1489	7484
166	1499	7477
167	1508	7469
168	1517	7460
169	1525	7449
170	1535	7444
171	1544	7436
172	1553	7427
173	1562	7418
174	1572	7413
175	1581	7405
176	1591	7398
177	1600	7389
178	1609	7381
179	1618	7372
180	1627	7362
181	1635	7352
182	1644	7343
183	1654	7336
184	1663	7326
185	1672	7317
186	1680	7308
187	1690	7302
188	1699	7292
189	1707	7280
190	1718	7277
191	1726	7266
192	1735	7256
193	1743	7243
194	1752	7233
195	1761	7225
196	1769	7214
197	1779	7207
198	1788	7198
199	1797	7191
200	1807	7184
201	1815	7173
202	1825	7165
203	1835	7162
204	1844	7153
205	1854	7146
206	1863	7138
207	1872	7128
208	1880	7116
209	1889	7106
210	1897	7094
211	1906	7084
212	1914	7072
213	1922	7060
214	1930	7048
215	1938	7035
216	1946	7023
217	1954	7011
218	1963	7001
219	1971	6988
220	1978	6975
221	1987	6964
222	1995	6951
223	2003	6939
224	2013	6935
225	2022	6927
226	2031	6919
227	2040	6910
228	2049	6900
229	2058	6890
230	2066	6878
231	2074	6867
232	2082	6856
233	2091	6845
234	2099	6835
235	2108	6824
236	2116	6812
237	2124	6801
238	2132	6789
239	2140	6778
240	2148	6767
241	2156	6755
242	2165	6745
243	2173	6734
244	2181	6722
245	2190	6713
246	2198	6702
247	2206	6691
248	2214	6679
249	2222	6668
250	2230	6657
251	2239	6647
252	2247	6635
253	2255	6625
254	2264	6614
255	2272	6604
256	2280	6593
257	2289	6585
258	2298	6574
259	2306	6563
260	2315	6555
261	2324	6548
262	2333	6539
263	2342	6529
264	2350	6520
265	2360	6512
266	2367	6500
267	2376	6491
268	2385	6482
269	2394	6474
270	2403	6464
271	2411	6455
272	2420	6445
273	2428	6435
274	2437	6426
275	2446	6416
276	2454	6406
277	2462	6395
278	2470	6384
279	2479	6374
280	2487	6364
281	2495	6354
282	2504	6344
283	2512	6334
284	2520	6324
285	2529	6314
286	2538	6306
287	2547	6297
288	2555	6286
289	2563	6275
290	2571	6265
291	2579	6254
292	2588	6245
293	2596	6236
294	2605	6225
295	2614	6217
296	2623	6208
297	2631	6198
298	2639	6188
299	2647	6177
300	2655	6166
301	2663	6156
302	2671	6145
303	2679	6135
304	2687	6124
305	2696	6115
306	2704	6105
307	2713	6096
308	2722	6087
309	2731	6078
310	2739	6068
311	2746	6057
312	2755	6047
313	2763	6036
314	2772	6028
315	2780	6019
316	2789	6009
317	2796	5998
318	2805	5988
319	2813	5978
320	2822	5969
321	2831	5962
322	2840	5952
323	2848	5943
324	2858	5936
325	2866	5927
326	2875	5917
327	2883	5908
328	2892	5899
329	2901	5891
330	2910	5882
331	2918	5872
332	2926	5862
333	2935	5853
334	2943	5842
335	2951	5832
336	2959	5821
337	2967	5811
338	2975	5801
339	2983	5791
340	2991	5781
341	3000	5771
342	3008	5762
343	3016	5753
344	3026	5745
345	3034	5735
346	3043	5727
347	3051	5717
348	3059	5707
349	3068	5698
350	3076	5688
351	3084	5678
352	3093	5669
353	3101	5660
354	3110	5651
355	3119	5642
356	3128	5633
357	3136	5624
358	3145	5616
359	3154	5607
360	3163	5599
361	3172	5590
362	3180	5580
363	3188	5571
364	3197	5563
365	3206	5553
366	3214	5544
367	3222	5535
368	3231	5525
369	3239	5516
370	3248	5507
371	3257	5499
372	3266	5490
373	3274	5481
374	3283	5471
375	3291	5462
376	3299	5453
377	3308	5443
378	3317	5435
379	3325	5425
380	3334	5417
381	3343	5408
382	3351	5398
383	3359	5389
384	3367	5379
385	3376	5370
386	3384	5360
387	3392	5351
388	3400	5341
389	3409	5332
390	3417	5323
391	3425	5313
392	3434	5304
393	3442	5294
394	3450	5285
395	3458	5275
396	3467	5266
397	3476	5257
398	3484	5249
399	3493	5239
400	3502	5231
401	3510	5222
402	3519	5213
403	3527	5203
404	3535	5194
405	3544	5185
406	3552	5176
407	3561	5167
408	3569	5158
409	3578	5149
410	3587	5140
411	3595	5131
412	3604	5122
413	3612	5113
414	3621	5105
415	3630	5096
416	3638	5087
417	3646	5077
418	3654	5067
419	3663	5058
420	3671	5049
421	3680	5041
422	3688	5031
423	3696	5021
424	3704	5012
425	3712	5002
426	3720	4993
427	3729	4984
428	3738	4975
429	3747	4967
430	3755	4958
431	3764	4949
432	3773	4940
433	3782	4932
434	3790	4923
435	3798	4913
436	3807	4904
437	3816	4896
438	3824	4887
439	3834	4880
440	3843	4872
441	3852	4863
442	3860	4853
443	3868	4844
444	3876	4834
445	3884	4825
446	3893	4816
447	3901	4807
448	3910	4798
449	3919	4790
450	3928	4781
451	3936	4772
452	3944	4762
453	3953	4754
454	3962	4746
455	3971	4738
456	3979	4728
457	3989	4720
458	3997	4712
459	4006	4703
460	4014	4693
461	4023	4685
462	4032	4676
463	4040	4667
464	4049	4658
465	4057	4649
466	4066	4641
467	4074	4631
468	4082	4622
469	4091	4613
470	4099	4604
471	4107	4595
472	4116	4586
473	4124	4577
474	4132	4567
475	4141	4559
476	4150	4550
477	4158	4541
478	4167	4532
479	4176	4524
480	4184	4515
481	4194	4507
482	4202	4498
483	4211	4489
484	4220	4481
485	4228	4472
486	4237	4463
487	4246	4455
488	4255	4446
489	4263	4437
490	4271	4428
491	4280	4419
492	4288	4410
493	4296	4401
494	4305	4392
495	4314	4383
496	4322	4374
497	4331	4366
498	4340	4357
499	4348	4348
500	4356	4339
501	4365	4331
502	4374	4322
503	4382	4313
504	4391	4304
505	4400	4296
506	4409	4287
507	4418	4279
508	4427	4270
509	4435	4261
510	4444	4253
511	4453	4244
512	4461	4235
513	4470	4227
514	4479	4218
515	4487	4209
516	4496	4200
517	4505	4192
518	4513	4183
519	4522	4174
520	4530	4165
521	4538	4155
522	4546	4147
523	4554	4137
524	4563	4128
525	4571	4119
526	4579	4109
527	4587	4101
528	4596	4092
529	4605	4083
530	4614	4075
531	4622	4066
532	4631	4057
533	4639	4048
534	4647	4039
535	4655	4030
536	4664	4021
537	4672	4012
538	4681	4003
539	4689	3995
540	4698	3986
541	4706	3977
542	4715	3968
543	4723	3959
544	4731	3950
545	4739	3941
546	4750	3933
547	4758	3925
548	4767	3916
549	4775	3907
550	4783	3898
551	4791	3889
552	4799	3879
553	4808	3871
554	4816	3861
555	4824	3852
556	4835	3845
557	4843	3836
558	4852	3828
559	4860	3819
560	4869	3810
561	4878	3802
562	4886	3793
563	4895	3784
564	4904	3775
565	4913	3767
566	4921	3758
567	4929	3749
568	4938	3740
569	4947	3732
570	4955	3723
571	4963	3714
572	4971	3705
573	4980	3696
574	4988	3687
575	4997	3678
576	5005	3669
577	5013	3660
578	5022	3651
579	5030	3642
580	5039	3634
581	5048	3625
582	5057	3617
583	5065	3608
584	5074	3599
585	5082	3590
586	5091	3582
587	5099	3572
588	5107	3563
589	5115	3554
590	5123	3545
591	5131	3536
592	5139	3527
593	5148	3519
594	5156	3509
595	5164	3500
596	5172	3491
597	5180	3482
598	5188	3473
599	5197	3464
600	5205	3455
601	5214	3447
602	5221	3437
603	5230	3428
604	5238	3420
605	5246	3411
606	5255	3402
607	5264	3393
608	5275	3387
609	5284	3378
610	5293	3369
611	5301	3361
612	5309	3351
613	5317	3342
614	5325	3333
615	5334	3325
616	5342	3316
617	5350	3307
618	5358	3298
619	5367	3289
620	5375	3280
621	5383	3271
622	5391	3262
623	5399	3253
624	5408	3245
625	5416	3236
626	5425	3227
627	5433	3218
628	5442	3210
629	5450	3201
630	5459	3192
631	5467	3183
632	5475	3174
633	5484	3166
634	5492	3157
635	5501	3148
636	5509	3139
637	5517	3130
638	5525	3121
639	5533	3112
640	5541	3103
641	5550	3094
642	5558	3086
643	5567	3077
644	5575	3068
645	5583	3059
646	5591	3050
647	5600	3042
648	5608	3033
649	5616	3024
650	5624	3015
651	5633	3006
652	5642	2998
653	5651	2989
654	5659	2981
655	5668	2972
656	5677	2963
657	5685	2955
658	5693	2946
659	5702	2937
660	5709	2928
661	5718	2919
662	5726	2910
663	5734	2901
664	5742	2892
665	5750	2884
666	5759	2875
667	5768	2866
668	5776	2858
669	5785	2849
670	5793	2840
671	5801	2831
672	5809	2822
673	5817	2813
674	5826	2805
675	5835	2796
676	5843	2787
677	5851	2778
678	5859	2770
679	5868	2761
680	5876	2752
681	5884	2743
682	5892	2734
683	5900	2726
684	5909	2717
685	5917	2708
686	5925	2699
687	5933	2690
688	5941	2681
689	5949	2672
690	5957	2663
691	5965	2655
692	5973	2646
693	5981	2637
694	5989	2628
695	5997	2619
696	6006	2611
697	6015	2602
698	6023	2593
699	6032	2585
700	6040	2576
701	6049	2567
702	6057	2559
703	6066	2550
704	6075	2542
705	6083	2533
706	6091	2524
707	6100	2516
708	6108	2507
709	6116	2498
710	6125	2489
711	6133	2481
712	6142	2472
713	6151	2463
714	6159	2455
715	6168	2446
716	6176	2437
717	6185	2429
718	6195	2421
719	6203	2412
720	6212	2403
721	6220	2395
722	6228	2386
723	6237	2377
724	6245	2368
725	6253	2360
726	6261	2351
727	6269	2342
728	6277	2333
729	6286	2325
730	6294	2316
731	6302	2307
732	6311	2299
733	6319	2290
734	6328	2281
735	6337	2273
736	6346	2264
737	6354	2256
738	6363	2247
739	6371	2238
740	6379	2229
741	6387	2221
742	6396	2212
743	6404	2203
744	6412	2194
745	6421	2186
746	6429	2177
747	6438	2168
748	6446	2160
749	6454	2151
750	6463	2142
751	6472	2134
752	6480	2125
753	6488	2117
754	6497	2108
755	6505	2099
756	6513	2090
757	6521	2082
758	6530	2073
759	6538	2064
760	6546	2056
761	6554	2047
762	6562	2038
763	6571	2029
764	6578	2020
765	6586	2012
766	6594	2003
767	6603	1994
768	6611	1986
769	6620	1977
770	6628	1968
771	6636	1960
772	6644	1951
773	6652	1942
774	6660	1933
775	6668	1925
776	6677	1916
777	6685	1907
778	6694	1899
779	6701	1890
780	6710	1881
781	6719	1873
782	6728	1864
783	6737	1856
784	6746	1847
785	6755	1839
786	6763	1830
787	6771	1821
788	6779	1813
789	6788	1804
790	6798	1796
791	6806	1787
792	6814	1778
793	6823	1770
794	6832	1761
795	6840	1753
796	6848	1744
797	6856	1735
798	6864	1726
799	6872	1718
800	6880	1709
801	6889	1700
802	6898	1692
803	6906	1683
804	6915	1675
805	6923	1666
806	6931	1657
807	6939	1648
808	6947	1640
809	6955	1631
810	6963	1622
811	6971	1614
812	6980	1605
813	6988	1596
814	6996	1588
815	7004	1579
816	7012	1570
817	7020	1561
818	7028	1553
819	7036	1544
820	7045	1536
821	7054	1527
822	7062	1518
823	7071	1510
824	7079	1501
825	7089	1493
826	7101	1485
827	7109	1476
828	7117	1468
829	7125	1459
830	7133	1450
831	7141	1442
832	7150	1433
833	7159	1424
834	7167	1416
835	7176	1407
836	7185	1399
837	7194	1390
838	7202	1382
839	7210	1373
840	7219	1364
841	7227	1356
842	7236	1347
843	7244	1339
844	7253	1330
845	7261	1321
846	7269	1313
847	7277	1304
848	7286	1295
849	7293	1287
850	7301	1278
851	7310	1269
852	7318	1261
853	7326	1252
854	7335	1243
855	7343	1235
856	7352	1226
857	7360	1218
858	7369	1209
859	7377	1201
860	7386	1192
861	7395	1183
862	7403	1175
863	7411	1166
864	7420	1158
865	7428	1149
866	7437	1140
867	7445	1132
868	7453	1123
869	7462	1115
870	7471	1106
871	7480	1098
872	7489	1089
873	7498	1080
874	7506	1072
875	7514	1063
876	7522	1055
877	7531	1046
878	7539	1037
879	7547	1029
880	7556	1020
881	7564	1012
882	7572	1003
883	7581	994
884	7589	986
885	7598	977
886	7607	969
887	7616	960
