iter	Logloss
0	0.6753405447
1	0.6600300056
2	0.6406708722
3	0.6213756276
4	0.6069068882
5	0.5908379458
6	0.5750718792
7	0.5624038686
8	0.5509290462
9	0.5376406747
10	0.5270962872
11	0.5147629263
12	0.505176829
13	0.4934227272
14	0.4822578084
15	0.4726945833
16	0.4650730258
17	0.4585142808
18	0.4493867777
19	0.4427761975
20	0.4361403599
21	0.4292194076
22	0.4244214395
23	0.4191859605
24	0.4139331464
25	0.409373143
26	0.403151007
27	0.3982252186
28	0.3931258655
29	0.389041323
30	0.3838685402
31	0.3803423864
32	0.3761229106
33	0.3730630176
34	0.3694191804
35	0.364344531
36	0.3607035475
37	0.3573742565
38	0.3546728652
39	0.352105172
40	0.3477804286
41	0.345380614
42	0.3433962048
43	0.3413170058
44	0.3387740162
45	0.3359862046
46	0.3339610343
47	0.3307337099
48	0.3288035423
49	0.3262306102
50	0.3244643601
51	0.3219911159
52	0.3197432503
53	0.3183257695
54	0.3169179572
55	0.3149897062
56	0.3136695069
57	0.3117225578
58	0.3095198403
59	0.3075943579
60	0.3056552884
61	0.303582244
62	0.3020579624
63	0.3009364786
64	0.2994267423
65	0.2978873829
66	0.2965249104
67	0.2949686842
68	0.2933529776
69	0.2923179781
70	0.2905100938
71	0.2892057388
72	0.2880148505
73	0.2868352918
74	0.2860530579
75	0.2840445839
76	0.2824606087
77	0.2818538349
78	0.2807245354
79	0.2794357481
80	0.2787502206
81	0.2779238182
82	0.2767752243
83	0.2761414043
84	0.2754059796
85	0.2746833327
86	0.2729792465
87	0.2723578209
88	0.2717784341
89	0.2707059744
90	0.2700339488
91	0.2694941945
92	0.2690254845
93	0.2684866246
94	0.267763786
95	0.26677583
96	0.2661349609
97	0.2651711974
98	0.2643789117
99	0.2637979916
100	0.2632993604
101	0.2625930477
102	0.2615454621
103	0.2609871374
104	0.260356171
105	0.259779638
106	0.2591916901
107	0.2587737505
108	0.2580863915
109	0.2575736409
110	0.2571181559
111	0.2562900711
112	0.2557933991
113	0.2552072827
114	0.2549208903
115	0.2545169423
116	0.2540387555
117	0.2534013364
118	0.2528327468
119	0.252282536
120	0.2519069547
121	0.2514307271
122	0.2510774004
123	0.250891782
124	0.2502929517
125	0.249301354
126	0.2488210802
127	0.248313398
128	0.2478794436
129	0.2474548382
130	0.2471640588
131	0.2468655487
132	0.2465873979
133	0.2462427814
134	0.2460086074
135	0.2457219594
136	0.2453655661
137	0.244897133
138	0.2443988851
139	0.2441639231
140	0.2436263623
141	0.2433384578
142	0.2429611089
143	0.2426698396
144	0.2423778675
145	0.2417421308
146	0.2413853541
147	0.2410239135
148	0.2406850896
149	0.2402985194
150	0.2400745677
151	0.2397040549
152	0.239320168
153	0.2390286219
154	0.2387919988
155	0.2384692536
156	0.2380726742
157	0.2376869984
158	0.2374765059
159	0.2371530366
160	0.2368341886
161	0.2365332082
162	0.2362922195
163	0.2359844668
164	0.2357236512
165	0.2351237348
166	0.2349154997
167	0.2345766758
168	0.2343794296
169	0.2340430548
170	0.2334005245
171	0.2331500376
172	0.2328804692
173	0.232469962
174	0.23204459
175	0.2318952178
176	0.2315586087
177	0.2312984107
178	0.2307897702
179	0.2305667555
180	0.2302386862
181	0.2300805187
182	0.2298252401
183	0.2295110986
184	0.2288259971
185	0.2285346426
186	0.2281864696
187	0.2278452392
188	0.2276773606
189	0.2275050097
190	0.2273715033
191	0.2271662071
192	0.2269365267
193	0.2267082731
194	0.226442538
195	0.2262218659
196	0.2260168466
197	0.2254816283
198	0.2250873063
199	0.224836223
200	0.2247163249
201	0.2244546149
202	0.2242423974
203	0.2240169549
204	0.2237778828
205	0.2235882181
206	0.2233515524
207	0.2229673461
208	0.2225971315
209	0.222355589
210	0.2220969882
211	0.2219709355
212	0.2217674921
213	0.2214554802
214	0.2212226692
215	0.2209529304
216	0.2207569407
217	0.2204006751
218	0.2199769216
219	0.2198544467
220	0.2195870505
221	0.219381946
222	0.2192097442
223	0.2189972712
224	0.2187960639
225	0.2186486723
226	0.2180624281
227	0.2178785986
228	0.2177577208
229	0.217501271
230	0.2170247453
231	0.2167535371
232	0.2165779066
233	0.2164303233
234	0.2162359308
235	0.2160590439
236	0.2158902708
237	0.21569492
238	0.2154664534
239	0.2151936054
240	0.215111423
241	0.2148725426
242	0.2147811602
243	0.2146461205
244	0.2145243483
245	0.2143681613
246	0.2141953633
247	0.214019243
248	0.2138804338
249	0.2137935449
250	0.2136457061
251	0.213418347
252	0.2132386915
253	0.2130018555
254	0.2128464991
255	0.2125969705
256	0.2121409105
257	0.211944218
258	0.2116498182
259	0.2113955618
260	0.2112213582
261	0.2109445065
262	0.2107088205
263	0.2105486937
264	0.2103881836
265	0.2102296753
266	0.2100445467
267	0.2097447589
268	0.2096486701
269	0.2095241507
270	0.20940421
271	0.2091356212
272	0.2089962157
273	0.2088573001
274	0.2086747696
275	0.2085196687
276	0.2083770475
277	0.2082828753
278	0.2080075995
279	0.2077567932
280	0.2075680442
281	0.2074250609
282	0.2071350481
283	0.2069797982
284	0.2068118344
285	0.2067235187
286	0.2064631503
287	0.2063522179
288	0.206225867
289	0.2061267754
290	0.2059338098
291	0.2058162969
292	0.2056283146
293	0.2054908683
294	0.2052864879
295	0.2050818519
296	0.2048831149
297	0.2047944372
298	0.2046602919
299	0.2045318327
300	0.2044446457
301	0.2043068587
302	0.2041407051
303	0.2039649255
304	0.2037837367
305	0.2037087099
306	0.2035628091
307	0.2034543258
308	0.2032830184
309	0.203089563
310	0.2029005797
311	0.2027707576
312	0.2025745549
313	0.2024218179
314	0.202161556
315	0.2019401385
316	0.2018153849
317	0.201687884
318	0.2015886646
319	0.2014822258
320	0.2012767592
321	0.2011352667
322	0.2008488103
323	0.2006574419
324	0.2004207124
325	0.2002694023
326	0.2000979885
327	0.1999692311
328	0.1998588951
329	0.1996568998
330	0.1994997332
331	0.1993515536
332	0.1991312223
333	0.1989902408
334	0.1987713576
335	0.1986373188
336	0.1984215022
337	0.1982170579
338	0.1980476672
339	0.197769197
340	0.1976421646
