iter	Passed	Remaining
0	10	10576
1	19	9741
2	27	9159
3	35	8922
4	44	8772
5	52	8694
6	60	8637
7	69	8578
8	80	8840
9	88	8766
10	96	8694
11	104	8613
12	112	8552
13	120	8520
14	129	8474
15	137	8445
16	146	8467
17	155	8488
18	163	8439
19	172	8432
20	181	8447
21	190	8469
22	199	8477
23	207	8432
24	216	8440
25	223	8386
26	232	8371
27	240	8348
28	248	8312
29	256	8299
30	265	8310
31	273	8287
32	282	8268
33	290	8265
34	299	8254
35	307	8240
36	317	8253
37	324	8220
38	332	8204
39	341	8191
40	349	8182
41	359	8192
42	369	8222
43	377	8212
44	386	8209
45	396	8213
46	404	8201
47	412	8184
48	420	8168
49	428	8143
50	436	8128
51	445	8119
52	453	8103
53	461	8085
54	470	8081
55	478	8067
56	486	8055
57	495	8055
58	504	8043
59	513	8040
60	520	8019
61	529	8013
62	537	8000
63	546	7999
64	556	8010
65	565	8007
66	574	7993
67	581	7975
68	590	7965
69	599	7965
70	608	7956
71	616	7940
72	624	7930
73	632	7916
74	640	7902
75	649	7894
76	657	7886
77	666	7879
78	690	8046
79	699	8040
80	708	8037
81	716	8021
82	725	8010
83	733	8000
84	742	7988
85	751	7984
86	759	7967
87	768	7961
88	776	7947
89	785	7939
90	793	7928
91	802	7919
92	811	7919
93	820	7906
94	828	7891
95	835	7871
96	845	7868
97	853	7852
98	862	7846
99	869	7829
100	878	7818
101	886	7803
102	894	7787
103	902	7777
104	911	7770
105	920	7761
106	929	7758
107	938	7753
108	948	7755
109	958	7751
110	967	7744
111	975	7733
112	986	7745
113	995	7733
114	1003	7725
115	1012	7714
116	1021	7706
117	1029	7693
118	1037	7682
119	1046	7670
120	1055	7666
121	1065	7666
122	1073	7653
123	1081	7643
124	1091	7638
125	1100	7630
126	1108	7619
127	1117	7615
128	1126	7605
129	1134	7595
130	1144	7590
131	1152	7579
132	1161	7570
133	1169	7556
134	1177	7546
135	1185	7529
136	1193	7519
137	1201	7507
138	1209	7492
139	1216	7475
140	1225	7468
141	1234	7456
142	1241	7442
143	1249	7429
144	1258	7418
145	1265	7405
146	1273	7391
147	1285	7398
148	1292	7383
149	1300	7372
150	1308	7359
151	1316	7344
152	1323	7327
153	1332	7319
154	1341	7310
155	1348	7297
156	1356	7283
157	1364	7270
158	1371	7256
159	1380	7248
160	1392	7255
161	1400	7244
162	1408	7235
163	1417	7226
164	1425	7215
165	1434	7206
166	1442	7194
167	1450	7182
168	1458	7171
169	1466	7162
170	1474	7150
171	1484	7146
172	1493	7138
173	1501	7130
174	1511	7125
175	1519	7114
176	1528	7106
177	1536	7097
178	1544	7086
179	1552	7073
180	1561	7063
181	1569	7052
182	1576	7038
183	1584	7027
184	1592	7016
185	1600	7006
186	1608	6994
187	1616	6981
188	1624	6971
189	1632	6959
190	1641	6951
191	1650	6944
192	1660	6941
193	1669	6938
194	1677	6925
195	1685	6914
196	1693	6904
197	1701	6892
198	1709	6882
199	1717	6868
200	1725	6858
201	1733	6847
202	1741	6838
203	1749	6828
204	1758	6819
205	1766	6809
206	1775	6801
207	1783	6790
208	1791	6781
209	1800	6771
210	1808	6764
211	1817	6754
212	1825	6743
213	1834	6737
214	1842	6728
215	1851	6718
216	1858	6707
217	1867	6697
218	1874	6685
219	1882	6674
220	1890	6663
221	1898	6652
222	1907	6644
223	1914	6633
224	1922	6622
225	1930	6611
226	1938	6602
227	1946	6591
228	1955	6582
229	1963	6574
230	1972	6564
231	1979	6553
232	1988	6545
233	1996	6536
234	2005	6527
235	2012	6516
236	2020	6505
237	2028	6495
238	2036	6485
239	2046	6480
240	2055	6472
241	2063	6463
242	2072	6455
243	2080	6445
244	2087	6433
245	2095	6423
246	2103	6413
247	2111	6402
248	2119	6393
249	2127	6382
250	2135	6372
251	2143	6362
252	2152	6354
253	2160	6346
254	2168	6336
255	2176	6326
256	2184	6316
257	2193	6307
258	2201	6298
259	2209	6288
260	2217	6278
261	2225	6269
262	2235	6263
263	2243	6254
264	2251	6245
265	2259	6235
266	2268	6227
267	2276	6218
268	2284	6208
269	2292	6197
270	2300	6187
271	2308	6177
272	2316	6170
273	2324	6159
274	2333	6151
275	2340	6139
276	2348	6128
277	2355	6118
278	2364	6109
279	2372	6099
280	2381	6093
281	2389	6084
282	2398	6077
283	2406	6067
284	2414	6057
285	2421	6046
286	2430	6036
287	2437	6026
288	2445	6015
289	2453	6007
290	2461	5996
291	2469	5986
292	2477	5978
293	2487	5974
